num;left;right;isLetter
1;goes along;takes charge;yes
2;quiet;talkative;yes
3;supportive;challenging;yes
4;compliant;dominant;yes
5;ask questions;makes statements;yes
6;coorperative;competitve;yes
7;introverted;extroverted;yes
8;slow,studied;fast-paced;yes
9;constrained;open;yes
10;private;warm;no
11;calm;excitable;no
12;task oriented;people oriented;no
13;eyes serious;eyes friendly;no
14;talks only business;shares personal feelings;no
15;reserved;outgoing;no
16;wants/uses facts;wants/uses opinions;no
17;does not express emotion;expresses emotion;no
18;objective;personal;no
